,San Francisco,New York City,Pittsburgh,Charleston,Wausau
1996-04-01,288323.0,248602.6,82403.0,126411.0,
1996-05-01,287012.0,248623.0,81995.0,126903.0,
1996-06-01,286252.0,249184.0,81733.0,127602.0,
1996-07-01,286538.0,249859.0,81621.0,127996.0,
1996-08-01,287734.0,251255.0,81863.0,128567.0,
1996-09-01,289152.0,253406.0,82137.0,129218.0,
1996-10-01,290861.0,256194.8,82599.0,130029.0,
1996-11-01,292486.0,258705.2,82995.0,130678.0,
1996-12-01,294410.0,260186.6,83403.0,131386.0,
1997-01-01,296539.0,261324.8,83631.0,131776.0,
1997-02-01,298671.0,263142.8,83676.0,132199.0,
1997-03-01,300859.0,265459.2,83584.0,132625.0,
1997-04-01,302595.0,268321.4,83494.0,133250.0,
1997-05-01,305022.0,270665.0,83406.0,133772.0,
1997-06-01,307696.0,273180.0,83442.0,134194.0,
1997-07-01,311951.0,275818.2,83590.0,134645.0,
1997-08-01,316079.0,278883.2,83799.0,135359.0,
1997-09-01,320353.0,281350.6,84070.0,136053.0,
1997-10-01,323743.0,283333.0,84289.0,136808.0,
1997-11-01,327717.0,285874.8,84695.0,137678.0,
1997-12-01,332006.0,289125.8,85143.0,138683.0,
1998-01-01,336238.0,291190.0,85589.0,139805.0,
1998-02-01,339883.0,290262.0,85788.0,140806.0,
1998-03-01,342957.0,289164.8,85807.0,141654.0,
1998-04-01,346161.0,288990.8,85741.0,142199.0,
1998-05-01,349661.0,290763.4,85633.0,142815.0,
1998-06-01,353776.0,292554.8,85501.0,143399.0,
1998-07-01,358809.0,294835.8,85489.0,144578.0,
1998-08-01,363771.0,297512.4,85778.0,145769.0,
1998-09-01,368636.0,299440.6,86230.0,147068.0,
1998-10-01,372884.0,300682.8,86768.0,148180.0,
1998-11-01,377025.0,301983.6,87268.0,148951.0,
1998-12-01,380616.0,304856.8,87382.0,149915.0,
1999-01-01,383690.0,308472.0,87556.0,150737.0,
1999-02-01,386306.0,312630.4,87624.0,151914.0,
1999-03-01,388681.0,315390.4,87949.0,152922.0,
1999-04-01,390906.0,317613.4,88066.0,154270.0,
1999-05-01,393262.0,319329.8,87928.0,155719.0,
1999-06-01,396832.0,321013.4,87809.0,157392.0,
1999-07-01,401739.0,324379.4,87860.0,157276.0,
1999-08-01,407612.0,326614.8,88193.0,157294.0,
1999-09-01,413039.0,330491.6,88721.0,157391.0,
1999-10-01,418494.0,333850.6,89390.0,159250.0,
1999-11-01,425262.0,337693.8,90073.0,161068.0,
1999-12-01,433399.0,340074.4,90687.0,162941.0,
2000-01-01,442602.0,340762.0,91028.0,164531.0,
2000-02-01,449909.0,343094.0,91319.0,165871.0,
2000-03-01,456652.0,346018.6,91515.0,167039.0,
2000-04-01,462602.0,350430.8,91683.0,168274.0,
2000-05-01,469628.0,354969.0,91950.0,169449.0,
2000-06-01,477962.0,359916.4,92118.0,170653.0,
2000-07-01,487806.0,364772.4,92434.0,172229.0,
2000-08-01,498450.0,368671.0,92686.0,174056.0,
2000-09-01,508640.0,372345.8,93229.0,175750.0,
2000-10-01,518819.0,376277.8,93692.0,177113.0,
2000-11-01,530265.0,380629.6,94184.0,178776.0,
2000-12-01,543160.0,384931.2,94586.0,180706.0,
2001-01-01,555494.0,390148.0,94953.0,182590.0,
2001-02-01,565653.0,395598.0,95296.0,184149.0,
2001-03-01,571444.0,401699.0,95440.0,185092.0,
2001-04-01,576087.0,404782.2,95587.0,185841.0,
2001-05-01,578447.0,407764.4,95578.0,186731.0,
2001-06-01,581569.0,411284.8,95751.0,187640.0,
2001-07-01,583822.0,416674.0,96076.0,188475.0,
2001-08-01,586766.0,423873.6,96620.0,188552.0,
2001-09-01,589356.0,430273.4,97238.0,188965.0,
2001-10-01,588076.0,438238.2,97812.0,189434.0,
2001-11-01,585161.0,446899.2,98429.0,190175.0,
2001-12-01,579384.0,457997.8,99019.0,190872.0,
2002-01-01,578135.0,468025.0,99496.0,191418.0,
2002-02-01,577171.0,475986.2,99917.0,191867.0,
2002-03-01,578874.0,479932.6,100212.0,191828.0,
2002-04-01,579135.0,483902.2,100456.0,191873.0,
2002-05-01,582744.0,487119.4,100570.0,191849.0,
2002-06-01,589206.0,491591.4,100501.0,192280.0,
2002-07-01,598901.0,495127.4,100770.0,192934.0,
2002-08-01,609701.0,498688.8,101618.0,193829.0,
2002-09-01,616783.0,502065.6,102450.0,194747.0,
2002-10-01,621512.0,506103.6,103144.0,195668.0,
2002-11-01,623103.0,510539.8,103325.0,196661.0,
2002-12-01,625886.0,514245.8,103597.0,197781.0,
2003-01-01,627901.0,518073.2,104047.0,198820.0,
2003-02-01,634054.0,521883.8,104155.0,199856.0,
2003-03-01,638938.0,526671.2,104158.0,200395.0,
2003-04-01,643977.0,531657.4,104131.0,200783.0,
2003-05-01,642034.0,538714.0,104698.0,201204.0,
2003-06-01,640906.0,547483.8,105893.0,201901.0,
2003-07-01,643234.0,555211.0,106759.0,203077.0,
2003-08-01,648188.0,558409.8,107164.0,204271.0,
2003-09-01,653937.0,557401.2,106949.0,205527.0,
2003-10-01,657322.0,553079.8,106829.0,206825.0,
2003-11-01,662886.0,547726.2,106505.0,208219.0,
2003-12-01,669410.0,541486.2,106692.0,209993.0,
2004-01-01,680571.0,536415.4,106543.0,211470.0,
2004-02-01,691358.0,532874.2,107084.0,212612.0,
2004-03-01,700477.0,533368.8,107349.0,213890.0,
2004-04-01,708316.0,533615.8,107424.0,215667.0,
2004-05-01,718799.0,536897.6,107486.0,218522.0,
2004-06-01,730335.0,538144.4,107729.0,221928.0,
2004-07-01,741341.0,541528.8,108308.0,225532.0,
2004-08-01,748845.0,544024.4,108787.0,228513.0,
2004-09-01,761848.0,552419.0,109285.0,231505.0,
2004-10-01,776083.0,562262.6,109995.0,234205.0,
2004-11-01,789795.0,572959.0,110689.0,237195.0,
2004-12-01,800123.0,579335.4,111217.0,238957.0,
2005-01-01,807379.0,585782.4,111724.0,240874.0,121679.0
2005-02-01,819530.0,591611.6,111151.0,243282.0,120541.0
2005-03-01,828209.0,601373.2,110748.0,246783.0,121087.0
2005-04-01,839599.0,610699.8,110778.0,250133.0,122313.0
2005-05-01,849742.0,619481.6,111568.0,253726.0,124811.0
2005-06-01,859902.0,627075.2,112235.0,258155.0,127408.0
2005-07-01,868165.0,637070.6,112531.0,263284.0,129645.0
2005-08-01,872704.0,647409.4,113130.0,267674.0,131706.0
2005-09-01,881326.0,656212.2,113641.0,271591.0,132924.0
2005-10-01,889110.0,663696.2,114124.0,275509.0,133785.0
2005-11-01,893347.0,669739.6,114577.0,279348.0,134466.0
2005-12-01,894120.0,676696.0,114990.0,282641.0,135308.0
2006-01-01,891216.0,683073.6,115302.0,285305.0,135925.0
2006-02-01,883336.0,691928.6,115512.0,288993.0,136444.0
2006-03-01,877625.0,695318.0,115778.0,291644.0,136599.0
2006-04-01,876106.0,695854.4,115966.0,295128.0,136714.0
2006-05-01,882818.0,697356.4,116027.0,298372.0,136870.0
2006-06-01,887436.0,703093.4,116340.0,303092.0,136962.0
2006-07-01,887700.0,709998.4,116407.0,306896.0,136990.0
2006-08-01,887480.0,714329.0,116495.0,309651.0,137290.0
2006-09-01,886281.0,715357.0,116279.0,311372.0,137751.0
2006-10-01,882267.0,714936.4,116510.0,311715.0,138354.0
2006-11-01,879269.0,714151.8,116692.0,311501.0,138529.0
2006-12-01,876528.0,719363.8,117024.0,310408.0,138612.0
2007-01-01,876152.0,721043.0,117081.0,310764.0,138503.0
2007-02-01,877359.0,721214.4,117232.0,311545.0,138515.0
2007-03-01,883211.0,721642.6,117221.0,312312.0,138515.0
2007-04-01,893787.0,725522.8,116986.0,312401.0,138407.0
2007-05-01,900923.0,731313.4,116966.0,311139.0,137933.0
2007-06-01,904564.0,728196.4,117056.0,310037.0,137428.0
2007-07-01,903900.0,727293.0,117705.0,308934.0,137016.0
2007-08-01,905392.0,725629.6,118333.0,308305.0,137256.0
2007-09-01,906074.0,726563.0,119149.0,307131.0,137438.0
2007-10-01,905089.0,727777.8,119819.0,304874.0,138052.0
2007-11-01,905385.0,729587.4,120350.0,303560.0,139220.0
2007-12-01,897832.0,730516.6,120599.0,302540.0,140781.0
2008-01-01,891825.0,732158.4,120625.0,303012.0,142088.0
2008-02-01,876719.0,732195.8,120224.0,302242.0,142699.0
2008-03-01,872959.0,729971.8,119813.0,300898.0,142829.0
2008-04-01,866662.0,726437.4,119951.0,298974.0,142338.0
2008-05-01,867202.0,720093.4,120261.0,297182.0,141725.0
2008-06-01,856944.0,716080.6,120289.0,295795.0,141349.0
2008-07-01,844925.0,708017.0,119932.0,293448.0,141406.0
2008-08-01,833770.0,704453.4,119545.0,291442.0,141413.0
2008-09-01,825624.0,701991.6,119395.0,288825.0,141073.0
2008-10-01,820790.0,700790.2,119031.0,287073.0,141008.0
2008-11-01,813779.0,699238.6,118579.0,284544.0,140758.0
2008-12-01,807425.0,697903.4,117368.0,282401.0,140534.0
2009-01-01,800067.0,697503.8,116536.0,278540.0,140033.0
2009-02-01,789435.0,694437.4,116588.0,274046.0,139543.0
2009-03-01,779237.0,692277.4,117131.0,270929.0,139094.0
2009-04-01,766141.0,689744.4,117420.0,269181.0,138765.0
2009-05-01,756655.0,685988.6,117552.0,267370.0,138312.0
2009-06-01,751799.0,677763.0,118027.0,264236.0,138196.0
